t,T4,T3,TSH,Bcells,Plasma,CD4,Cytokine,FTS,Ab
0.0,0.3329496113010848,,,106.93161838073823,21.236481653157234,,1.5576052825449938e10,3.0723057591674463,
6.803159063297254e-7,0.30812486937964306,0.006202361704056586,1.8346007248717577,103.24246115572112,19.213019595443516,283.1451286220196,1.5373866009564655e10,1.2074254034149963,1.381666535399e9
2.1939672132034442e-6,0.30183024022078186,,1.6805497219283148,,19.143073607498366,,1.4572766605529705e10,1.1915466234596506,1.520330458819777e9
0.10145160238063528,0.3239450965524514,0.006898657521630197,,101.31318502731088,,,,1.219829508050356,1.5204170361048095e9
2.1180545078112383,,0.006582762738283502,,109.06685957475273,17.927655373421718,,,,1.4195335760727975e9
8.333318672476572,0.320136225198179,,1.7014961091931669,107.60305490872682,19.98832832058436,267.5604126056598,9.645613768910809e9,1.3913137520856562,1.5222932047932255e9
14.02212067465007,0.3231839213789989,,2.7288500807988854,101.54094944748978,,,,,
22.816228641105884,0.30754436563483073,,,94.50778827649671,22.636123319889364,249.4232417543197,,,1.5706579218743134e9
28.576141256869015,,,1.1179282870297795,,,277.3870032938672,7.448411779934738e9,,1.5179909696551762e9
34.71777775839874,,0.005107903299360236,1.7652740211806184,106.07946565575757,23.485040507970744,240.43358683305664,8.080701551326058e9,1.1717137885494375,1.584520699508589e9
42.373041836118226,0.27112402711370137,,2.915612411393387,103.32511807843233,,263.74681196368556,,1.5893144972006399,1.4638315106138127e9
48.50342094268235,0.29153973074862866,,1.777999325814191,,,,,1.2618697757138193,1.4245991956903546e9
54.85814960023322,,0.004807731423006306,1.2659768864770575,89.30821664288585,,,6.77144730685418e9,1.0185579076772693,1.6182998718239925e9
60.24682170427565,,,2.4410871470161286,,,254.72283607671767,6.776119674292583e9,,
68.69589112668163,,,,102.75044195311645,,,6.296532117320818e9,1.5997968253852264,
74.31475996638846,,0.004127604775583001,,88.65395266866318,25.60104530396565,,6.222957962784868e9,1.2329099906566046,1.5032898577915704e9
81.13691387603873,0.25392620502236846,0.004343039922238363,1.9334945944837576,,23.35202535400764,213.6119315925531,6.756541365551705e9,,
87.0509192226668,,0.0043848880467563635,3.4130383068257655,,23.906901305846045,221.49974733522546,,1.7964807729785586,1.540426747100536e9
95.6490710019957,,0.004218176305136281,,,24.981605163789286,,5.776115467668408e9,,1.4440874627283483e9
100.90435818616224,0.24091287561369007,,,91.06067521000953,21.555706224231397,223.22446402043062,,1.2189801963669675,1.5187208361193101e9
106.73294373167339,,,,,22.54441407864976,,5.849527360374524e9,1.562311846595504,1.5176937917152557e9
114.37025099381157,,0.004305343301964185,,,,,,1.9777128472759349,
120.50647692800722,0.22598809745306553,0.004208655341212778,2.710787515075342,84.59644062904084,,207.5492670433961,5.648414200881343e9,,1.3668844976896224e9
126.87388354186999,,0.004222750461998405,2.088706309865951,87.37435186210851,22.492099803828115,,5.473164445392941e9,1.4489869667563635,1.3993055674316268e9
132.26134121194724,,0.004079700453096808,3.616018143069822,87.97405516013511,20.802972841017873,186.42576774803825,,,1.3473276573738337e9
140.71544600024174,0.20842768555712948,0.00429502160765971,,88.06534001166958,21.310434270002194,,6.116007371115241e9,,1.200950557561696e9
146.28841169187595,,0.0041100499874044865,,,20.812052364104193,,5.530600423818621e9,1.582066233628076,
152.90773937758084,0.19865207185326683,,3.0208611880903735,,,,5.5881944386767235e9,1.8061757174996298,
158.61717892302866,,,5.580005885769931,83.99546379465703,21.110187124679538,195.94405652306602,5.462369164601585e9,2.578839603214024,
167.27954995337728,0.20606349386977335,0.004225900451767891,5.186112434652324,,21.034324874394983,,,,
170.40724527336263,0.22036056474156543,0.003954765495283391,3.278236405929143,,22.034801380620316,232.008465109446,,,1.043750002499628e9
176.70439691589033,,0.004164319272505738,3.287374897507178,,18.986355748991148,,5.790177942365931e9,2.0666814812150522,
182.27704898109582,0.2095289564147057,,6.828610311865956,74.68451629320433,,206.9186670035237,5.874260922565745e9,2.982850536956723,1.0596187767528124e9
191.01728853619218,0.19350208840041994,0.0038786814980624534,,74.97890925811225,,,5.479081704455579e9,2.757395030095668,1.0464586958310336e9
195.8523414077902,0.18178650966557777,0.004096835585879015,,75.24094547924584,19.00067741438358,221.49370684798313,,,8.62262205637807e8
202.18711761013736,0.19965424858845846,,4.387420799336137,78.7249601992393,20.25577356928715,233.07920810769147,6.071108611461537e9,,
209.39196023923517,,0.004078451256410636,,,,,5.824149498548031e9,3.3546207790930573,
216.0,,,5.282796216780891,80.48435020507414,20.141859020087114,229.61004847975954,,3.2149078715819686,
222.2694513560611,0.18343690426185358,0.004368105936860142,,,19.796800949384934,,6.66959878552867e9,,7.689765447781466e8
227.76909690776787,0.21586210909598885,0.004423361355222818,6.608389567814408,72.42052320185987,,,6.549901088883874e9,2.9874111521959823,7.530401026604297e8
236.09904807574114,0.19003582178606615,,,71.7885411930067,18.64568512565421,220.9053562707934,6.671605166942499e9,3.5746598121259883,7.550796836812298e8
241.47626319385193,0.2063434255098216,,4.34221991494942,73.91572855418492,,251.36239725783705,,2.778834430164752,7.096755607444179e8
248.1051597565003,0.19455770804807135,0.004665862599824904,3.7642053719410615,75.3811287649359,,236.1079324845136,5.902033177988994e9,,6.578403247391193e8
253.62474107606712,,,,80.90178791339929,,,6.569741750518448e9,3.7064904102064107,6.512824671193672e8
262.4508735205792,0.2046586383065824,0.004766561362865063,,77.98142334804132,18.014218580843796,278.6327708053655,,,
